date,replyCount,retweetCount,likeCount,quoteCount
2021-05-02 00:00:00+00:00,1,0,0,0
2021-05-03 00:00:00+00:00,0,3,6,0
2021-05-04 00:00:00+00:00,2,0,34,0
2021-05-05 00:00:00+00:00,2,0,8,0
2021-05-06 00:00:00+00:00,0,0,3,0
2021-05-08 00:00:00+00:00,0,1,1,0
2021-05-09 00:00:00+00:00,1,0,0,0
2021-05-10 00:00:00+00:00,2,2,3,1
2021-05-11 00:00:00+00:00,8,5,30,0
2021-05-12 00:00:00+00:00,11,1,39,2
2021-05-13 00:00:00+00:00,6,3,35,0
2021-05-14 00:00:00+00:00,0,5,20,1
2021-05-15 00:00:00+00:00,9,9,29,1
2021-05-16 00:00:00+00:00,10,11,89,3
2021-05-17 00:00:00+00:00,44,21,224,8
2021-05-18 00:00:00+00:00,6,0,30,4
2021-05-19 00:00:00+00:00,32,8,101,6
2021-05-20 00:00:00+00:00,527,394,3352,104
2021-05-21 00:00:00+00:00,183,91,1166,23
2021-05-22 00:00:00+00:00,100,159,864,33
2021-05-23 00:00:00+00:00,14,14,144,5
2021-05-24 00:00:00+00:00,22,7,86,3
2021-05-25 00:00:00+00:00,24,11,123,6
2021-05-26 00:00:00+00:00,22,6,174,5
2021-05-27 00:00:00+00:00,60,26,498,3
2021-05-28 00:00:00+00:00,89,33,581,16
2021-05-29 00:00:00+00:00,85,20,564,7
2021-05-30 00:00:00+00:00,28,8,134,2
2021-05-31 00:00:00+00:00,23,9,102,3
2021-06-01 00:00:00+00:00,49,15,358,6
2021-06-02 00:00:00+00:00,148,18,220,3
2021-06-03 00:00:00+00:00,24,8,170,4
2021-06-04 00:00:00+00:00,26,12,200,3
2021-06-05 00:00:00+00:00,22,4,93,0
2021-06-06 00:00:00+00:00,20,8,106,1
2021-06-07 00:00:00+00:00,36,17,287,7
2021-06-08 00:00:00+00:00,82,36,517,11
2021-06-09 00:00:00+00:00,33,15,366,2
2021-06-10 00:00:00+00:00,33,9,183,4
2021-06-11 00:00:00+00:00,172,56,1226,16
2021-06-12 00:00:00+00:00,66,30,608,7
2021-06-13 00:00:00+00:00,73,34,678,5
2021-06-14 00:00:00+00:00,106,78,978,15
2021-06-15 00:00:00+00:00,73,34,579,8
2021-06-16 00:00:00+00:00,50,23,283,5
2021-06-17 00:00:00+00:00,46,9,559,4
2021-06-18 00:00:00+00:00,36,8,330,5
2021-06-19 00:00:00+00:00,45,7,412,4
2021-06-20 00:00:00+00:00,52,6,604,3
2021-06-21 00:00:00+00:00,25,25,287,5
2021-06-22 00:00:00+00:00,13,7,142,6
2021-06-23 00:00:00+00:00,45,6,377,1
2021-06-24 00:00:00+00:00,95,24,689,5
2021-06-25 00:00:00+00:00,44,17,322,5
2021-06-26 00:00:00+00:00,26,22,172,1
2021-06-27 00:00:00+00:00,29,19,273,7
2021-06-28 00:00:00+00:00,17,7,190,4
2021-06-29 00:00:00+00:00,27,18,191,1
